,CH3,CH4
Second,Volt,Volt
-2.02000e-01,2.95e-01,-1.39e-02, 
-2.01920e-01,2.95e-01,-1.39e-02, 
-2.01840e-01,2.95e-01,-1.39e-02, 
-2.01760e-01,2.95e-01,-1.39e-02, 
-2.01680e-01,2.95e-01,-1.39e-02, 
-2.01600e-01,2.95e-01,-1.39e-02, 
-2.01520e-01,2.97e-01,-1.39e-02, 
-2.01440e-01,2.96e-01,-1.39e-02, 
-2.01360e-01,2.97e-01,-1.39e-02, 
-2.01280e-01,2.98e-01,-1.39e-02, 
-2.01200e-01,2.97e-01,-1.39e-02, 
-2.01120e-01,2.98e-01,-1.39e-02, 
-2.01040e-01,2.98e-01,-1.39e-02, 
-2.00960e-01,2.98e-01,-1.39e-02, 
-2.00880e-01,2.98e-01,-1.39e-02, 
-2.00800e-01,2.98e-01,-1.39e-02, 
-2.00720e-01,2.97e-01,-1.39e-02, 
-2.00640e-01,2.98e-01,-1.39e-02, 
-2.00560e-01,2.98e-01,-1.39e-02, 
-2.00480e-01,2.98e-01,-1.39e-02, 
-2.00400e-01,2.98e-01,-1.39e-02, 
-2.00320e-01,2.98e-01,-1.39e-02, 
-2.00240e-01,2.98e-01,-1.39e-02, 
-2.00160e-01,2.98e-01,-1.39e-02, 
-2.00080e-01,2.98e-01,-1.39e-02, 
-2.00000e-01,2.98e-01,-1.39e-02, 
-1.99920e-01,2.98e-01,-1.39e-02, 
-1.99840e-01,2.98e-01,-1.39e-02, 
-1.99760e-01,2.98e-01,-1.39e-02, 
-1.99680e-01,2.98e-01,-1.39e-02, 
-1.99600e-01,2.98e-01,-1.39e-02, 
-1.99520e-01,2.98e-01,-1.39e-02, 
-1.99440e-01,2.98e-01,-1.39e-02, 
-1.99360e-01,2.98e-01,-1.39e-02, 
-1.99280e-01,2.98e-01,-1.39e-02, 
-1.99200e-01,2.99e-01,-1.39e-02, 
-1.99120e-01,2.98e-01,-1.39e-02, 
-1.99040e-01,2.99e-01,-1.39e-02, 
-1.98960e-01,3.00e-01,-1.39e-02, 
-1.98880e-01,3.00e-01,-1.39e-02, 
-1.98800e-01,3.00e-01,-1.39e-02, 
-1.98720e-01,3.01e-01,-1.39e-02, 
-1.98640e-01,3.01e-01,-1.39e-02, 
-1.98560e-01,3.01e-01,-1.39e-02, 
-1.98480e-01,3.01e-01,-1.39e-02, 
-1.98400e-01,3.01e-01,-1.39e-02, 
-1.98320e-01,3.01e-01,-1.39e-02, 
-1.98240e-01,3.02e-01,-1.26e-02, 
-1.98160e-01,3.02e-01,-1.39e-02, 
-1.98080e-01,3.02e-01,-1.39e-02, 
-1.98000e-01,3.01e-01,-1.26e-02, 
-1.97920e-01,3.02e-01,-1.39e-02, 
-1.97840e-01,3.01e-01,-1.39e-02, 
-1.97760e-01,3.01e-01,-1.26e-02, 
-1.97680e-01,3.01e-01,-1.39e-02, 
-1.97600e-01,3.02e-01,-1.39e-02, 
-1.97520e-01,3.02e-01,-1.39e-02, 
-1.97440e-01,3.01e-01,-1.26e-02, 
-1.97360e-01,3.01e-01,-1.26e-02, 
-1.97280e-01,3.01e-01,-1.39e-02, 
-1.97200e-01,3.02e-01,-1.39e-02, 
-1.97120e-01,3.02e-01,-1.26e-02, 
-1.97040e-01,3.02e-01,-1.26e-02, 
-1.96960e-01,3.01e-01,-1.39e-02, 
-1.96880e-01,3.01e-01,-1.39e-02, 
-1.96800e-01,3.02e-01,-1.39e-02, 
-1.96720e-01,3.02e-01,-1.39e-02, 
-1.96640e-01,3.03e-01,-1.39e-02, 
-1.96560e-01,3.03e-01,-1.39e-02, 
